index;Bellinzona;Blenio;Leventina;Locarno;Lugano;Mendrisio;Riviera;Vallemaggia;TI
146;10241.31472139571;1051.0292886975;1851.2502193773003;13672.59236173626;32073.221004185103;10765.10610182796;1861.9527054344103;1032.7857912351;72549.252190956
147;6514.8578992289995;668.59643025;1177.64490627;8697.613419174;20402.89580949;6848.059886004;1184.453131359;656.99110449;46151.112584400005
148;7215.4320611042895;740.4938363025;1304.2827556227;9632.90983326374;22596.9178208149;7584.464868172039;1311.82310206559;727.6405337648999;51113.964809043995
149;259756.3921236;26657.864100000003;46954.330668;346785.8726616;813491.6657160001;273041.6160336;47225.7840156;26195.143716000002;1840108.6689600002
150;460858.11505799997;47296.2105;83306.07054;615265.257948;1443291.6649800001;484428.673608;83787.681318;46475.25498;3264708.9288
151;421522.2689170957;43259.3141136975;76195.6071103773;562750.2240759362;1320101.691721185;443080.9981550279;76636.11073013442;42508.4300082351;2986054.644710956
152;283963.1042709957;29142.111888697502;51330.0072673773;379102.8667793363;889300.9977801852;298486.378911428;51626.75736703441;28636.2705672351;2011588.494750956
153;165257.2261499957;16959.754638697497;29872.383037377298;220625.45185333624;517544.0537701851;173709.29631542793;30045.08187603441;16665.3715572351;1170678.619150956
154;175964.0075676;18058.5531;31807.772388;234919.46212560002;551074.9993560001;184963.67537759998;31991.660139600004;17745.097356000002;1246525.2273600001
155;202730.99602510428;20805.5528363025;36646.2520756227;270654.53441726376;634902.472660815;213099.65973217203;36858.11214606559;20444.4153737649;1436141.995209044
156;221118.8158539957;22692.6286386975;39970.088557377305;295203.05887733627;692488.4980101852;232427.92341942797;40201.164460034415;22298.735797235102;1566400.9135509562
157;137559.1646461;14117.202224999999;24865.599843;183647.3572966;430800.69394100003;144594.6192436;25009.3533631;13872.159441;974466.14996
158;126154.1133571957;12946.7428386975;22803.9891733773;168421.12693653628;395082.94280218513;132606.25734262797;22935.82406723441;12722.0165892351;893673.013070956
159;140352.2441313;14403.845925;25370.485119;187376.2376478;439547.916153;147530.5505988;25517.1574923;14153.827653;994252.26468
160;183644.9761519;18846.823275;33196.206897000004;245173.8830914;575129.8604390001;193037.48660439998;33388.1214949;18519.684939;1300937.04284
161;136628.1614266957;14021.6567136975;24697.3089583773;182404.42825353626;427885.02609718515;143615.99992462795;24840.08955173441;13778.2723842351;967870.943270956
162;220187.74280760426;22597.0759613025;39801.7850506227;293960.03661226376;689572.6114858149;231449.230702172;40031.88795356559;22204.8416987649;1559805.212209044
163;452013.3400792043;46388.5030613025;81707.26295862271;603457.1057618638;1415592.055081815;475131.53318377206;82179.6306771656;45583.303294764904;3202052.7339690444
164;242299.6453411;24866.340975;43798.797693;323480.3704666;758821.526891;254692.04506359997;44052.0082081;24434.717391;1716445.45196
165;171308.85181660426;17580.811211302498;30966.2927206227;228704.6304662637;536496.2227758149;180070.431986172;31145.31569256559;17275.647988764897;1213548.204609044
166;220420.5459826957;22620.9677136975;39843.8672383773;294270.83878953627;690301.6924571851;231693.94058062797;40074.213427734416;22228.3187442351;1561454.3848709562
167;9543.04485009571;979.3683636975001;1725.0289003773003;12740.372273936262;29886.415451185105;10031.123263027961;1735.00167313441;962.3687382351001;67602.723510956
168;7215.4320611042895;740.4938363025;1304.2827556227;9632.90983326374;22596.9178208149;7584.464868172039;1311.82310206559;727.6405337648999;51113.964809043995
169;698.2698713;71.660925;126.22131900000001;932.2200878000001;2186.805553;733.9828388;126.95103230000001;70.41705300000001;4946.52868
170;10241.31472139571;1051.0292886975;1851.2502193773003;13672.59236173626;32073.221004185103;10765.10610182796;1861.9527054344103;1032.7857912351;72549.252190956
171;6514.8578992289995;668.59643025;1177.64490627;8697.613419174;20402.89580949;6848.059886004;1184.453131359;656.99110449;46151.112584400005
172;7215.4320611042895;740.4938363025;1304.2827556227;9632.90983326374;22596.9178208149;7584.464868172039;1311.82310206559;727.6405337648999;51113.964809043995
173;259756.3921236;26657.864100000003;46954.330668;346785.8726616;813491.6657160001;273041.6160336;47225.7840156;26195.143716000002;1840108.6689600002
174;460858.11505799997;47296.2105;83306.07054;615265.257948;1443291.6649800001;484428.673608;83787.681318;46475.25498;3264708.9288
175;421522.2689170957;43259.3141136975;76195.6071103773;562750.2240759362;1320101.691721185;443080.9981550279;76636.11073013442;42508.4300082351;2986054.644710956
176;283963.1042709957;29142.111888697502;51330.0072673773;379102.8667793363;889300.9977801852;298486.378911428;51626.75736703441;28636.2705672351;2011588.494750956
177;165257.2261499957;16959.754638697497;29872.383037377298;220625.45185333624;517544.0537701851;173709.29631542793;30045.08187603441;16665.3715572351;1170678.619150956
178;175964.0075676;18058.5531;31807.772388;234919.46212560002;551074.9993560001;184963.67537759998;31991.660139600004;17745.097356000002;1246525.2273600001
179;202730.99602510428;20805.5528363025;36646.2520756227;270654.53441726376;634902.472660815;213099.65973217203;36858.11214606559;20444.4153737649;1436141.995209044
180;221118.8158539957;22692.6286386975;39970.088557377305;295203.05887733627;692488.4980101852;232427.92341942797;40201.164460034415;22298.735797235102;1566400.9135509562
181;137559.1646461;14117.202224999999;24865.599843;183647.3572966;430800.69394100003;144594.6192436;25009.3533631;13872.159441;974466.14996
182;126154.1133571957;12946.7428386975;22803.9891733773;168421.12693653628;395082.94280218513;132606.25734262797;22935.82406723441;12722.0165892351;893673.013070956
183;140352.2441313;14403.845925;25370.485119;187376.2376478;439547.916153;147530.5505988;25517.1574923;14153.827653;994252.26468
184;183644.9761519;18846.823275;33196.206897000004;245173.8830914;575129.8604390001;193037.48660439998;33388.1214949;18519.684939;1300937.04284
185;136628.1614266957;14021.6567136975;24697.3089583773;182404.42825353626;427885.02609718515;143615.99992462795;24840.08955173441;13778.2723842351;967870.943270956
186;220187.74280760426;22597.0759613025;39801.7850506227;293960.03661226376;689572.6114858149;231449.230702172;40031.88795356559;22204.8416987649;1559805.212209044
187;452013.3400792043;46388.5030613025;81707.26295862271;603457.1057618638;1415592.055081815;475131.53318377206;82179.6306771656;45583.303294764904;3202052.7339690444
188;242299.6453411;24866.340975;43798.797693;323480.3704666;758821.526891;254692.04506359997;44052.0082081;24434.717391;1716445.45196
189;171308.85181660426;17580.811211302498;30966.2927206227;228704.6304662637;536496.2227758149;180070.431986172;31145.31569256559;17275.647988764897;1213548.204609044
190;220420.5459826957;22620.9677136975;39843.8672383773;294270.83878953627;690301.6924571851;231693.94058062797;40074.213427734416;22228.3187442351;1561454.3848709562
191;9543.04485009571;979.3683636975001;1725.0289003773003;12740.372273936262;29886.415451185105;10031.123263027961;1735.00167313441;962.3687382351001;67602.723510956
192;7215.4320611042895;740.4938363025;1304.2827556227;9632.90983326374;22596.9178208149;7584.464868172039;1311.82310206559;727.6405337648999;51113.964809043995
193;698.2698713;71.660925;126.22131900000001;932.2200878000001;2186.805553;733.9828388;126.95103230000001;70.41705300000001;4946.52868
194;10241.31472139571;1051.0292886975;1851.2502193773003;13672.59236173626;32073.221004185103;10765.10610182796;1861.9527054344103;1032.7857912351;72549.252190956
195;6514.8578992289995;668.59643025;1177.64490627;8697.613419174;20402.89580949;6848.059886004;1184.453131359;656.99110449;46151.112584400005
196;7215.4320611042895;740.4938363025;1304.2827556227;9632.90983326374;22596.9178208149;7584.464868172039;1311.82310206559;727.6405337648999;51113.964809043995
197;259756.3921236;26657.864100000003;46954.330668;346785.8726616;813491.6657160001;273041.6160336;47225.7840156;26195.143716000002;1840108.6689600002
